Category: All categories

Region,tylenol: (2020)
Oklahoma,100
Louisiana,94
Texas,94
Arkansas,93
Mississippi,92
Michigan,92
West Virginia,92
Utah,91
Iowa,91
New Jersey,90
Ohio,89
North Dakota,89
New York,89
Kansas,89
South Dakota,87
Massachusetts,87
Connecticut,87
Alabama,86
Missouri,86
Indiana,86
Kentucky,85
Rhode Island,85
Illinois,84
Pennsylvania,84
Wisconsin,84
Tennessee,84
Virginia,84
Arizona,83
North Carolina,83
Maryland,83
Delaware,83
Nebraska,82
Wyoming,82
Montana,81
Vermont,81
Minnesota,80
Florida,80
Georgia,79
California,78
South Carolina,77
Nevada,76
Maine,76
New Hampshire,76
Washington,75
Alaska,75
Idaho,75
Oregon,75
Colorado,74
Hawaii,73
New Mexico,72
District of Columbia,65
