Category: All categories

Region,tylenol: (2012)
West Virginia,100
Mississippi,98
North Dakota,95
Arkansas,93
Pennsylvania,92
Louisiana,91
Kentucky,90
Delaware,90
South Dakota,89
Maine,89
Nebraska,89
Michigan,88
Massachusetts,88
Wyoming,87
Alabama,87
Illinois,87
Washington,87
Ohio,85
Texas,85
Virginia,83
Oklahoma,83
Iowa,83
Georgia,82
North Carolina,82
Alaska,81
Kansas,81
New Jersey,81
Missouri,81
Utah,79
Tennessee,79
Florida,79
Indiana,78
South Carolina,78
New York,77
District of Columbia,77
New Mexico,77
Connecticut,75
Rhode Island,74
New Hampshire,74
Montana,73
Idaho,73
Maryland,72
Arizona,72
California,71
Colorado,71
Wisconsin,70
Nevada,70
Hawaii,69
Minnesota,69
Oregon,68
Vermont,66
