Category: All categories

Region,tylenol: (2014)
South Dakota,100
Arkansas,96
Oklahoma,94
North Dakota,92
West Virginia,92
Kentucky,92
Mississippi,90
Nebraska,89
Pennsylvania,89
Missouri,87
Louisiana,87
Massachusetts,86
Iowa,86
Tennessee,85
Michigan,85
Rhode Island,85
Utah,83
Minnesota,82
Washington,82
Alabama,81
Delaware,81
Texas,81
Wyoming,80
Maine,80
Hawaii,80
Montana,80
New York,79
Ohio,79
Alaska,78
New Jersey,78
Illinois,78
Wisconsin,77
Georgia,77
Florida,77
Vermont,77
North Carolina,76
New Hampshire,76
Idaho,76
Indiana,76
South Carolina,74
Maryland,74
Kansas,74
District of Columbia,73
Colorado,73
California,71
Connecticut,71
Nevada,71
Arizona,69
New Mexico,67
Virginia,57
Oregon,40
