Category: All categories

Region,tylenol: (2019)
Oklahoma,100
Texas,97
South Dakota,96
Georgia,96
Kentucky,94
Alabama,92
West Virginia,92
Kansas,91
Pennsylvania,91
Louisiana,91
Tennessee,91
Michigan,90
Mississippi,88
Ohio,88
Indiana,88
New Hampshire,88
Illinois,87
Maryland,87
Utah,87
Alaska,86
Massachusetts,86
Missouri,86
Maine,86
Arizona,85
Connecticut,85
South Carolina,85
Delaware,85
Idaho,85
Wyoming,85
Virginia,84
Montana,84
North Dakota,83
New Jersey,83
Rhode Island,83
Arkansas,82
Wisconsin,82
Nebraska,82
Oregon,82
North Carolina,82
Vermont,81
Minnesota,81
New York,80
Washington,80
Florida,80
Hawaii,78
California,78
Iowa,77
New Mexico,75
Colorado,75
Nevada,66
District of Columbia,61
