Category: All categories

Region,tylenol: (2007)
North Dakota,100
Nebraska,99
Iowa,98
Mississippi,98
Vermont,97
Tennessee,94
Kentucky,92
Kansas,92
Indiana,92
Utah,90
Pennsylvania,89
South Dakota,88
Michigan,88
Connecticut,88
Louisiana,87
Maryland,85
Wyoming,84
Wisconsin,84
Alabama,83
South Carolina,82
Arizona,82
Arkansas,81
Rhode Island,81
North Carolina,80
Oklahoma,80
Massachusetts,80
Hawaii,79
Texas,79
Virginia,79
Maine,79
Missouri,79
Ohio,78
Florida,78
District of Columbia,77
Illinois,76
Colorado,76
Delaware,75
Minnesota,75
Alaska,74
New Hampshire,74
New Jersey,74
New York,73
New Mexico,73
Oregon,73
West Virginia,72
Georgia,72
Washington,70
Nevada,68
Montana,67
Idaho,64
California,57
