Category: All categories

Region,faith: (2007)
South Dakota,100
Alabama,99
Oklahoma,93
Mississippi,92
Iowa,91
West Virginia,89
Tennessee,87
Utah,86
South Carolina,86
Georgia,86
Nebraska,85
Louisiana,85
North Carolina,84
Montana,83
Kansas,82
Arkansas,81
Indiana,80
North Dakota,80
Ohio,79
Michigan,78
Wyoming,77
Kentucky,77
Virginia,76
Idaho,74
Pennsylvania,74
Missouri,73
Texas,73
Florida,72
Illinois,70
Nevada,68
Delaware,67
Minnesota,66
Alaska,65
Colorado,65
Vermont,63
New Mexico,62
Rhode Island,62
Wisconsin,62
Maryland,61
New Hampshire,60
Maine,60
Oregon,59
Arizona,59
Connecticut,59
District of Columbia,59
Washington,58
New Jersey,57
New York,57
Hawaii,53
California,53
Massachusetts,51
