Category: All categories

Region,faith: (2012)
South Dakota,100
Mississippi,96
Tennessee,88
Oklahoma,86
Alabama,82
North Carolina,78
Georgia,78
Louisiana,76
South Carolina,75
Montana,75
Iowa,75
Texas,74
Utah,73
Kentucky,72
Virginia,72
Missouri,72
Arkansas,71
North Dakota,71
Indiana,71
Nevada,71
Kansas,71
Nebraska,70
Maryland,67
Minnesota,67
Florida,66
Wisconsin,66
Michigan,65
Ohio,65
West Virginia,64
Colorado,62
Delaware,60
Illinois,60
Idaho,60
Alaska,60
Pennsylvania,59
Washington,59
Wyoming,58
Oregon,57
Arizona,57
District of Columbia,57
New Mexico,56
Hawaii,54
California,52
Connecticut,52
Massachusetts,50
New Jersey,50
Rhode Island,48
New York,47
Maine,46
New Hampshire,46
Vermont,43
