Category: All categories

Region,faith: (2005)
Mississippi,100
South Dakota,85
Alabama,84
Wyoming,83
Tennessee,82
Oklahoma,80
South Carolina,79
Indiana,79
Kentucky,79
West Virginia,79
North Dakota,78
Louisiana,75
Iowa,75
Nebraska,74
Kansas,74
Missouri,73
North Carolina,72
Arkansas,69
Vermont,69
Georgia,68
Utah,66
Minnesota,66
Wisconsin,65
Michigan,65
Ohio,64
Texas,63
Montana,63
Alaska,62
Maine,61
Rhode Island,61
District of Columbia,61
New Hampshire,59
Pennsylvania,59
Idaho,58
Virginia,58
Nevada,58
Maryland,57
Oregon,57
Connecticut,56
New Mexico,55
Colorado,55
Arizona,55
Washington,55
Delaware,54
Florida,54
Illinois,54
New York,52
Hawaii,52
New Jersey,50
California,50
Massachusetts,46
