Category: All categories

Region,faith: (2015)
Alabama,100
South Dakota,95
Tennessee,92
Mississippi,89
Louisiana,85
South Carolina,85
North Carolina,84
Montana,81
Utah,81
Georgia,81
Arkansas,80
Oklahoma,78
Nebraska,78
Indiana,75
Texas,75
Missouri,74
North Dakota,73
Kentucky,73
Ohio,71
Nevada,71
West Virginia,70
Minnesota,69
Michigan,69
Iowa,69
Wisconsin,66
Alaska,64
Idaho,64
Maryland,64
Delaware,63
Kansas,63
District of Columbia,63
Florida,62
Pennsylvania,62
New Mexico,62
Illinois,60
Colorado,60
Arizona,59
Washington,58
Wyoming,57
California,54
New York,54
New Jersey,53
Connecticut,53
Hawaii,52
Massachusetts,51
Rhode Island,49
Maine,48
Virginia,48
New Hampshire,46
Vermont,44
Oregon,43
