Category: All categories

Region,faith: (2011)
South Dakota,100
Alabama,93
Oklahoma,89
Tennessee,82
South Carolina,80
Indiana,78
Montana,77
Mississippi,76
Georgia,75
North Carolina,74
Utah,72
Louisiana,72
West Virginia,72
Missouri,71
North Dakota,71
Kansas,70
Iowa,68
Kentucky,68
Texas,66
Arkansas,66
Delaware,66
Michigan,66
Ohio,65
Idaho,65
Nebraska,65
Wyoming,63
Maryland,62
Florida,62
Virginia,61
Minnesota,61
Pennsylvania,61
Illinois,59
New Mexico,59
Arizona,59
Wisconsin,59
Colorado,59
Nevada,57
Oregon,57
District of Columbia,56
Alaska,55
Washington,55
Connecticut,53
Rhode Island,50
New Jersey,49
Hawaii,49
Maine,47
New York,47
New Hampshire,47
California,46
Massachusetts,44
Vermont,43
