Category: All categories

Region,faith: (2008)
South Dakota,100
Alabama,91
Mississippi,87
Nebraska,86
Georgia,83
Tennessee,82
North Carolina,82
Oklahoma,79
North Dakota,79
Iowa,79
West Virginia,78
Missouri,76
Arkansas,76
South Carolina,75
Kansas,74
Kentucky,74
Indiana,72
Montana,71
Texas,71
Wyoming,69
Louisiana,68
Michigan,68
Ohio,67
Florida,67
Idaho,67
Minnesota,66
New Mexico,65
Colorado,65
Illinois,65
Utah,64
Nevada,62
Delaware,62
Alaska,60
Pennsylvania,59
Maryland,59
District of Columbia,59
Washington,57
Vermont,57
Oregon,56
Wisconsin,56
Arizona,55
Hawaii,54
Maine,53
Rhode Island,51
Connecticut,51
New Jersey,50
New York,50
California,50
Massachusetts,49
New Hampshire,49
Virginia,45
