Category: All categories

Region,faith: (2014)
Alabama,100
Mississippi,100
Tennessee,95
South Dakota,93
Louisiana,91
Georgia,85
North Carolina,85
Indiana,84
Nebraska,83
South Carolina,82
Utah,81
Arkansas,81
Montana,78
Missouri,78
Texas,78
Nevada,76
Oklahoma,76
Kentucky,73
Ohio,72
Iowa,72
Florida,71
North Dakota,70
Kansas,68
Maryland,68
Alaska,67
Michigan,67
Wisconsin,66
West Virginia,66
Wyoming,65
Pennsylvania,64
Idaho,63
Minnesota,63
Illinois,63
Colorado,62
Delaware,61
District of Columbia,60
New Mexico,59
Arizona,59
Washington,59
Virginia,58
New Jersey,54
California,53
Connecticut,51
Hawaii,51
New York,50
Rhode Island,50
Maine,49
Massachusetts,48
New Hampshire,45
Vermont,42
Oregon,34
