Category: All categories

Region,faith: (2018)
Mississippi,100
Alabama,97
Tennessee,94
South Dakota,91
Georgia,89
North Carolina,85
Louisiana,81
Arkansas,79
South Carolina,78
Indiana,77
Missouri,74
Oklahoma,74
Montana,72
Nebraska,71
Utah,71
Texas,71
Maryland,70
North Dakota,69
Virginia,68
Kentucky,66
Iowa,66
Ohio,65
Minnesota,64
Nevada,64
Florida,63
Kansas,63
Wisconsin,63
Michigan,63
Alaska,62
West Virginia,62
District of Columbia,61
Pennsylvania,60
Illinois,59
Idaho,58
Delaware,58
Arizona,56
New Mexico,55
Colorado,54
Oregon,54
Wyoming,53
Connecticut,52
California,50
New York,50
Washington,50
New Jersey,49
Hawaii,47
Massachusetts,46
Vermont,44
Maine,41
New Hampshire,40
Rhode Island,40
