Category: All categories

Region,faith: (2013)
Alabama,100
South Dakota,94
Mississippi,94
Tennessee,92
Georgia,90
Louisiana,85
Oklahoma,84
South Carolina,81
Montana,79
Missouri,78
Kansas,78
Nebraska,77
Utah,77
Texas,76
Kentucky,76
Nevada,76
North Carolina,76
Indiana,75
North Dakota,74
Iowa,74
Arkansas,74
Florida,70
Virginia,69
Michigan,69
Ohio,68
West Virginia,68
Idaho,67
Wisconsin,67
Minnesota,66
District of Columbia,65
Maryland,65
Pennsylvania,65
Delaware,65
Colorado,63
Illinois,63
Alaska,62
Wyoming,61
Washington,61
Arizona,60
New Mexico,59
California,57
Connecticut,55
New Jersey,54
Hawaii,52
Rhode Island,49
Massachusetts,48
New York,48
Maine,47
New Hampshire,46
Vermont,43
Oregon,41
