Category: All categories

Region,faith: (2006)
Mississippi,100
Oklahoma,87
Alabama,86
South Dakota,82
West Virginia,79
Tennessee,79
Nebraska,77
Arkansas,74
Iowa,71
South Carolina,69
North Carolina,69
Georgia,69
Kentucky,68
Montana,68
Indiana,65
Louisiana,65
Kansas,64
North Dakota,63
Ohio,62
Texas,62
Utah,61
Idaho,61
Nevada,60
Michigan,60
Wisconsin,60
Virginia,59
Pennsylvania,58
Minnesota,58
Missouri,58
Florida,57
Illinois,56
Oregon,54
Connecticut,54
Maryland,53
District of Columbia,53
Delaware,53
Colorado,52
Wyoming,51
Maine,50
Alaska,50
Arizona,50
Washington,50
New Mexico,49
Vermont,48
California,48
New York,48
New Hampshire,48
Rhode Island,46
Hawaii,44
New Jersey,44
Massachusetts,39
