Category: All categories

Region,faith: (2016)
Alabama,100
Mississippi,96
Tennessee,91
South Dakota,89
Georgia,83
Louisiana,82
Arkansas,81
North Carolina,80
South Carolina,80
Utah,78
Nebraska,77
Oklahoma,76
Missouri,75
Montana,75
Indiana,74
Kentucky,70
Texas,69
Virginia,68
Michigan,67
Ohio,67
North Dakota,67
Florida,67
Iowa,66
Kansas,65
Minnesota,65
Maryland,63
West Virginia,63
Alaska,63
Illinois,62
District of Columbia,61
Idaho,61
Nevada,60
Pennsylvania,59
Wisconsin,59
Washington,58
Wyoming,57
Delaware,57
Colorado,55
Arizona,55
New Mexico,53
Oregon,53
California,51
Hawaii,50
New Jersey,49
New York,49
Connecticut,47
Vermont,45
Rhode Island,44
Maine,44
Massachusetts,44
New Hampshire,40
