Category: All categories

Region,advil: (2012)
New York,100
New Jersey,91
Connecticut,86
New Hampshire,86
Rhode Island,81
District of Columbia,81
Delaware,80
Massachusetts,76
Vermont,76
Pennsylvania,73
Maine,72
Florida,70
Louisiana,69
Maryland,68
California,67
Alabama,67
Virginia,64
Illinois,63
Colorado,61
Ohio,61
Alaska,61
Hawaii,60
Minnesota,60
Texas,59
South Carolina,59
Tennessee,58
Georgia,58
Kentucky,57
Arizona,56
Arkansas,56
North Carolina,56
Indiana,56
Mississippi,56
Wyoming,56
West Virginia,55
Oklahoma,55
Nevada,55
Washington,54
Oregon,52
Missouri,52
North Dakota,50
Michigan,48
Kansas,48
Wisconsin,46
New Mexico,45
South Dakota,45
Nebraska,44
Idaho,43
Utah,42
Montana,42
Iowa,42
