Category: All categories

Region,lonely: (2004)
Hawaii,100
Wyoming,91
Alaska,88
New Mexico,80
Vermont,79
Maine,78
Montana,74
District of Columbia,73
Rhode Island,73
North Dakota,72
Texas,68
Massachusetts,67
Indiana,65
California,64
Oregon,64
Colorado,64
Wisconsin,63
Connecticut,62
South Dakota,62
Pennsylvania,62
Washington,61
New York,60
New Hampshire,60
New Jersey,58
Tennessee,58
Virginia,58
South Carolina,57
Utah,56
Iowa,55
Minnesota,55
Arizona,54
Nebraska,54
Missouri,53
North Carolina,53
Oklahoma,53
Illinois,53
Ohio,52
Michigan,52
Louisiana,51
Kansas,51
Georgia,50
Maryland,50
Mississippi,50
Nevada,50
Delaware,47
Idaho,47
Florida,46
Alabama,46
Kentucky,42
Arkansas,42
West Virginia,36
