Category: All categories

Region,lonely: (2006)
Vermont,100
Rhode Island,94
Alaska,93
Maine,93
Montana,86
Hawaii,85
Wyoming,85
New Hampshire,84
Washington,83
Connecticut,83
Oregon,82
District of Columbia,79
West Virginia,79
New York,78
Massachusetts,78
California,77
Michigan,75
North Dakota,75
Delaware,72
Wisconsin,72
New Mexico,72
Pennsylvania,71
Colorado,71
Idaho,70
Tennessee,70
Indiana,70
Kansas,69
Kentucky,68
Iowa,68
Maryland,68
New Jersey,67
Minnesota,67
Virginia,67
Illinois,67
South Dakota,65
Texas,64
Ohio,63
North Carolina,62
Arkansas,62
Louisiana,62
Missouri,62
Utah,61
Nevada,60
Arizona,59
South Carolina,58
Georgia,58
Oklahoma,56
Florida,56
Nebraska,56
Alabama,53
Mississippi,52
