Category: All categories

Region,lonely: (2014)
Alaska,100
Vermont,99
Georgia,98
New Mexico,97
Hawaii,90
Mississippi,88
Wyoming,88
Texas,86
Illinois,86
West Virginia,86
Tennessee,85
Montana,85
Massachusetts,85
South Dakota,84
Arkansas,84
New York,83
Minnesota,82
South Carolina,82
Maine,82
Pennsylvania,82
Washington,81
Missouri,81
North Dakota,81
California,81
Michigan,80
Delaware,80
Nebraska,80
Rhode Island,79
District of Columbia,79
Wisconsin,79
Kentucky,78
Virginia,78
Colorado,78
Idaho,78
Arizona,77
Florida,76
Alabama,76
Maryland,76
Louisiana,76
North Carolina,76
Kansas,75
Indiana,74
New Hampshire,74
Ohio,74
Oklahoma,73
Nevada,71
Utah,71
Connecticut,71
Iowa,71
New Jersey,70
Oregon,60
