Category: All categories

Region,hate myself: (2020)
Maine,100
West Virginia,96
Oregon,92
Idaho,92
Utah,91
Kentucky,85
Arkansas,85
Oklahoma,85
New Mexico,85
New Hampshire,83
Montana,81
Wisconsin,79
Washington,77
Colorado,76
Missouri,76
Indiana,75
Massachusetts,74
Rhode Island,74
Michigan,74
Kansas,73
Connecticut,72
Pennsylvania,72
Minnesota,72
Alabama,70
Arizona,69
Ohio,69
Virginia,68
Maryland,67
Illinois,66
South Carolina,66
Tennessee,65
Texas,65
Nebraska,63
North Carolina,62
Nevada,62
New Jersey,60
Georgia,60
Iowa,59
California,58
Mississippi,57
Florida,56
Louisiana,55
Hawaii,54
New York,51
Wyoming,
Alaska,
North Dakota,
Vermont,
District of Columbia,
South Dakota,
Delaware,
