Category: All categories

Region,hate myself: (2018)
Maine,100
Idaho,92
Rhode Island,92
West Virginia,90
Iowa,86
New Mexico,86
Oregon,85
Utah,82
New Hampshire,82
Kentucky,81
Indiana,80
Montana,80
Ohio,79
Missouri,79
Nevada,77
Wisconsin,76
Tennessee,75
Colorado,73
Mississippi,73
Oklahoma,72
Washington,71
Arizona,70
Hawaii,70
Michigan,70
Massachusetts,69
Virginia,69
Pennsylvania,68
North Carolina,68
Kansas,67
Arkansas,66
Georgia,66
Alabama,66
Minnesota,65
Louisiana,65
Connecticut,64
Maryland,64
Illinois,64
California,61
Texas,61
New York,61
Nebraska,58
South Carolina,58
New Jersey,56
Florida,54
Wyoming,
Alaska,
North Dakota,
Vermont,
South Dakota,
Delaware,
District of Columbia,
