Category: All categories

Region,hate myself: (2006)
New Hampshire,100
Rhode Island,87
Connecticut,82
Kentucky,81
Indiana,78
Michigan,70
Ohio,65
Oklahoma,63
Alabama,63
Pennsylvania,61
Massachusetts,60
Arkansas,59
Wisconsin,56
North Carolina,54
Maine,54
Illinois,50
Tennessee,50
Washington,49
Virginia,47
Texas,43
Nevada,42
New York,42
New Mexico,42
Colorado,41
New Jersey,40
Florida,39
Arizona,39
Iowa,38
Oregon,38
California,34
Georgia,34
Minnesota,34
Mississippi,33
Maryland,33
Missouri,32
Kansas,21
Utah,15
Alaska,
District of Columbia,
North Dakota,
Nebraska,
Montana,
South Carolina,
South Dakota,
Louisiana,
Idaho,
Vermont,
Hawaii,
Delaware,
West Virginia,
Wyoming,
