Category: All categories

Region,hate myself: (2013)
West Virginia,100
Utah,91
Maine,89
Connecticut,84
Alabama,82
Indiana,81
Pennsylvania,80
Arkansas,75
New Jersey,75
Massachusetts,74
Wisconsin,73
Maryland,73
Colorado,72
Washington,72
Louisiana,71
Michigan,71
Illinois,70
Montana,69
Ohio,69
New York,68
Virginia,67
Tennessee,67
Arizona,67
Missouri,67
Nevada,66
Idaho,65
Kansas,63
Oklahoma,63
Texas,62
South Carolina,62
New Hampshire,62
Georgia,61
Florida,61
California,61
Kentucky,60
Nebraska,60
North Carolina,57
Minnesota,56
Mississippi,56
New Mexico,51
Rhode Island,50
Oregon,49
Iowa,47
Hawaii,34
Delaware,
Wyoming,
North Dakota,
District of Columbia,
Alaska,
Vermont,
South Dakota,
