Category: All categories

Region,hate myself: (2016)
West Virginia,100
Rhode Island,92
Kentucky,90
Maine,87
Idaho,87
Kansas,86
Mississippi,85
New Hampshire,81
New Mexico,81
Oregon,80
Indiana,80
Ohio,78
Michigan,76
Utah,75
Colorado,74
South Carolina,74
Arizona,73
Iowa,73
New Jersey,72
Louisiana,71
Hawaii,71
Pennsylvania,71
Wisconsin,70
Alabama,70
Tennessee,69
Nebraska,68
Washington,68
Arkansas,66
Illinois,64
Connecticut,64
Massachusetts,64
Nevada,63
Minnesota,63
Oklahoma,63
Missouri,63
Georgia,63
Texas,63
Virginia,61
New York,59
Maryland,58
California,58
North Carolina,57
Florida,54
Montana,42
Alaska,
North Dakota,
Delaware,
District of Columbia,
South Dakota,
Vermont,
Wyoming,
