Category: All categories

Region,hate myself: (2010)
Montana,100
Oklahoma,79
Idaho,66
Maine,64
New Hampshire,60
New Mexico,57
Louisiana,56
Massachusetts,52
Nevada,50
Utah,48
Indiana,47
Washington,45
Texas,45
Connecticut,44
Tennessee,44
Ohio,43
New Jersey,43
Michigan,42
South Carolina,42
Pennsylvania,42
Oregon,41
Hawaii,41
Wisconsin,39
Arkansas,38
New York,38
Maryland,38
Alabama,38
Kansas,38
Nebraska,37
Illinois,37
North Carolina,36
Mississippi,34
Rhode Island,34
Georgia,34
Minnesota,33
Missouri,33
Arizona,32
Florida,31
California,26
Kentucky,25
Virginia,25
Colorado,22
Iowa,17
Delaware,
Vermont,
Alaska,
Wyoming,
District of Columbia,
North Dakota,
South Dakota,
West Virginia,
