Category: All categories

Region,hate myself: (2014)
Kentucky,100
Arkansas,95
Montana,93
New Mexico,92
New Hampshire,90
Alabama,85
Idaho,83
West Virginia,82
Michigan,81
Illinois,80
Washington,80
Wisconsin,79
Arizona,78
Pennsylvania,78
Indiana,76
Maryland,76
Louisiana,74
South Carolina,74
Tennessee,74
Iowa,72
Ohio,72
Texas,72
Massachusetts,72
Nevada,72
North Carolina,71
Hawaii,71
New Jersey,70
Oklahoma,70
Colorado,70
Nebraska,69
Georgia,69
New York,68
Maine,68
Missouri,67
California,66
Minnesota,65
Connecticut,63
Virginia,62
Florida,60
Rhode Island,59
Oregon,58
Kansas,55
Utah,50
Mississippi,39
South Dakota,
Wyoming,
Delaware,
Alaska,
North Dakota,
Vermont,
District of Columbia,
