Category: All categories

Region,existential crisis: (2019)
Vermont,
Washington,100
Oregon,100
Utah,94
West Virginia,92
New Mexico,92
New Hampshire,87
Idaho,82
California,82
Hawaii,82
Arizona,79
Rhode Island,76
Kentucky,76
Minnesota,71
Michigan,71
Maryland,71
Massachusetts,71
Virginia,71
Colorado,71
Pennsylvania,71
Delaware,
Alaska,
Missouri,66
Nebraska,66
District of Columbia,66
Illinois,66
Ohio,64
Maine,64
Texas,64
Connecticut,64
Tennessee,61
New York,61
Nevada,61
Arkansas,58
New Jersey,58
Montana,
Alabama,58
Wisconsin,58
North Carolina,58
Indiana,56
Georgia,56
Oklahoma,56
Florida,51
South Carolina,48
Mississippi,48
South Dakota,
Louisiana,46
Kansas,46
Iowa,43
North Dakota,
Wyoming,
