Category: All categories

Region,existential crisis: (2020)
Wyoming,
Oregon,100
Colorado,89
Utah,86
Washington,86
Vermont,
California,81
Virginia,78
Kansas,78
Massachusetts,78
Maine,78
Arizona,75
Illinois,72
Minnesota,70
Idaho,70
Oklahoma,70
New Jersey,67
Arkansas,67
New Mexico,67
Maryland,64
Louisiana,64
Rhode Island,64
Texas,64
Connecticut,64
Alaska,
Hawaii,64
New York,62
Iowa,62
Ohio,62
Tennessee,62
New Hampshire,62
Michigan,59
Georgia,59
Missouri,59
North Dakota,
Wisconsin,59
West Virginia,59
Alabama,59
North Carolina,59
Kentucky,56
Pennsylvania,56
Florida,56
South Dakota,
South Carolina,54
District of Columbia,54
Delaware,
Nevada,54
Indiana,54
Montana,
Nebraska,48
Mississippi,45
