Category: All categories

Region,existential crisis: (2013)
Wyoming,
Delaware,
Maine,100
Vermont,
West Virginia,91
Connecticut,86
Alabama,86
Alaska,
Missouri,65
Massachusetts,65
Virginia,65
Rhode Island,65
Washington,65
Pennsylvania,60
South Dakota,
California,60
New Jersey,60
Wisconsin,60
Hawaii,60
Minnesota,56
Illinois,56
New York,52
Idaho,52
District of Columbia,47
Louisiana,47
Michigan,47
Indiana,43
Kentucky,43
New Mexico,43
Colorado,43
Kansas,39
Oregon,39
Ohio,39
Arkansas,39
Oklahoma,39
Nevada,39
Tennessee,39
Texas,39
Maryland,39
Florida,34
Georgia,34
Montana,
North Carolina,34
Utah,34
Iowa,34
South Carolina,26
New Hampshire,26
Nebraska,21
Mississippi,21
Arizona,21
North Dakota,
