Category: All categories

Region,existential crisis: (2016)
Wyoming,
West Virginia,100
Maine,87
Alaska,
Nevada,79
Idaho,74
Washington,71
California,71
Arkansas,69
Connecticut,66
Oklahoma,66
Rhode Island,66
Indiana,66
Colorado,66
Minnesota,66
Oregon,64
New Hampshire,64
Massachusetts,64
Louisiana,64
Utah,61
Montana,
Nebraska,61
Virginia,61
Tennessee,58
New Jersey,58
Wisconsin,58
Pennsylvania,58
Maryland,58
Vermont,
North Dakota,
Iowa,58
District of Columbia,56
Arizona,56
Ohio,56
Illinois,56
New York,53
Michigan,53
Kansas,53
Kentucky,53
South Carolina,53
Missouri,53
Texas,48
North Carolina,48
Delaware,
Florida,43
Georgia,41
Hawaii,41
South Dakota,
Mississippi,33
New Mexico,30
Alabama,25
