Category: All categories

Region,bulemia: (2010)
Delaware,
Rhode Island,
Vermont,
Alaska,
West Virginia,
Alabama,100
New Hampshire,
Massachusetts,96
Idaho,
South Dakota,
Arkansas,
Nevada,
Louisiana,75
Wisconsin,75
Pennsylvania,68
South Carolina,68
New York,65
Missouri,65
Oklahoma,65
Kentucky,65
Mississippi,
Minnesota,65
Maine,
Indiana,62
Maryland,62
Ohio,62
North Carolina,59
Arizona,56
Virginia,56
Connecticut,56
New Jersey,50
Iowa,50
California,50
Utah,46
District of Columbia,46
Colorado,46
Illinois,46
Texas,46
Florida,43
Michigan,40
Tennessee,40
Oregon,31
Kansas,28
Washington,28
Georgia,28
Hawaii,
Montana,
North Dakota,
Nebraska,
New Mexico,
Wyoming,
