Category: All categories

Region,bulemia: (2007)
Mississippi,
Vermont,
Kansas,100
West Virginia,
Maine,
Utah,83
Rhode Island,
New Hampshire,
Oklahoma,73
Wisconsin,70
Massachusetts,70
Ohio,69
Arkansas,
Pennsylvania,66
Indiana,64
Louisiana,64
Iowa,63
Delaware,
District of Columbia,60
Oregon,60
Idaho,
New Jersey,54
Kentucky,54
Hawaii,
Missouri,52
Nevada,
Maryland,52
Connecticut,51
Minnesota,51
Virginia,51
Arizona,50
South Dakota,
New York,50
Illinois,50
South Carolina,48
Texas,47
Nebraska,
Tennessee,45
California,45
Michigan,44
North Carolina,44
Georgia,38
Washington,38
New Mexico,
Florida,35
Colorado,30
Alabama,16
Alaska,
Montana,
North Dakota,
Wyoming,
