Category: All categories

Region,bulemia: (2020)
Alaska,
Maine,
New Hampshire,
North Dakota,
Rhode Island,
South Dakota,
Vermont,
Maryland,100
Washington,85
Illinois,85
Pennsylvania,85
Iowa,85
Arizona,71
Indiana,71
Oregon,71
Massachusetts,71
Hawaii,
Virginia,71
Minnesota,71
Colorado,71
Georgia,71
West Virginia,
District of Columbia,71
New York,57
Tennessee,57
Utah,57
North Carolina,57
California,57
Oklahoma,57
Texas,57
Wisconsin,57
New Jersey,57
Michigan,57
Florida,57
Ohio,57
New Mexico,
Missouri,42
Arkansas,
Alabama,42
South Carolina,42
Connecticut,42
Mississippi,
Louisiana,28
Kansas,28
Idaho,
Nevada,
Kentucky,28
Delaware,
Montana,
Nebraska,
Wyoming,
