Category: All categories

Region,bulemia: (2013)
Nebraska,
Wyoming,
Montana,
Vermont,
Maine,
Hawaii,
Alabama,100
Alaska,
District of Columbia,84
Utah,76
Delaware,
Wisconsin,61
Pennsylvania,61
Rhode Island,
Oklahoma,53
Oregon,53
Massachusetts,53
Washington,46
Michigan,46
New York,46
Colorado,46
Virginia,46
New Jersey,46
Tennessee,46
Louisiana,46
Ohio,38
North Carolina,38
Arizona,38
Connecticut,38
Minnesota,38
Indiana,38
Kansas,38
New Hampshire,
South Carolina,38
Missouri,38
Illinois,38
Texas,38
Florida,38
New Mexico,
California,38
Iowa,38
Idaho,
Arkansas,
Georgia,30
Nevada,
Kentucky,15
Maryland,7
Mississippi,
North Dakota,
South Dakota,
West Virginia,
