Category: All categories

Region,bulemia: (2019)
Montana,
Idaho,
Vermont,
Indiana,100
District of Columbia,85
West Virginia,
Louisiana,85
Oklahoma,71
Ohio,71
Iowa,71
Mississippi,
Illinois,71
Missouri,71
Maryland,71
Wisconsin,71
Kansas,71
North Carolina,71
New Hampshire,
Massachusetts,71
Oregon,71
New Jersey,71
Minnesota,57
Michigan,57
Utah,57
Hawaii,
Connecticut,57
Washington,57
Texas,57
New York,57
Pennsylvania,42
Florida,42
Tennessee,42
California,42
Alabama,42
Virginia,42
Rhode Island,
Arizona,42
Georgia,42
Colorado,28
Kentucky,28
Arkansas,
South Carolina,14
Nevada,
Alaska,
Delaware,
Maine,
North Dakota,
Nebraska,
New Mexico,
South Dakota,
Wyoming,
