Category: All categories

Region,kill yourself: (2018)
Idaho,100
Utah,97
West Virginia,95
New Mexico,95
New Hampshire,93
Nebraska,90
Kansas,90
Kentucky,89
Montana,89
South Dakota,88
Oklahoma,87
Maine,87
Nevada,84
Arkansas,84
Indiana,84
Alabama,83
Iowa,82
Alaska,81
Arizona,81
Wisconsin,81
Michigan,80
North Dakota,80
Wyoming,79
Connecticut,79
Missouri,78
Ohio,78
Colorado,77
Oregon,75
Pennsylvania,75
Tennessee,72
Minnesota,71
Washington,71
South Carolina,70
Virginia,69
North Carolina,69
Illinois,68
Rhode Island,68
Georgia,68
Maryland,67
Hawaii,66
California,66
Louisiana,66
Delaware,66
Massachusetts,65
Mississippi,63
Texas,61
New Jersey,59
Vermont,58
Florida,56
New York,54
District of Columbia,41
