Category: All categories

Region,kill yourself: (2017)
Maine,100
New Mexico,97
Utah,94
Kentucky,91
Indiana,90
Iowa,89
Arkansas,89
Montana,88
Nevada,87
Wyoming,87
Idaho,87
West Virginia,85
Oklahoma,85
Missouri,84
Colorado,82
Arizona,81
Michigan,80
Oregon,79
North Dakota,79
Ohio,79
Washington,77
Connecticut,76
Pennsylvania,75
Kansas,75
Rhode Island,74
Minnesota,72
Virginia,72
South Carolina,71
Tennessee,71
Wisconsin,70
South Dakota,70
Vermont,70
New Jersey,70
Louisiana,69
North Carolina,69
Nebraska,69
Alabama,68
Mississippi,68
New Hampshire,68
California,68
Texas,68
Maryland,67
Illinois,67
Georgia,66
Alaska,64
Hawaii,64
Massachusetts,62
Delaware,62
Florida,57
New York,54
District of Columbia,51
