Category: All categories

Region,kill yourself: (2010)
Arkansas,100
Kentucky,84
South Dakota,84
Nebraska,78
New Hampshire,77
Nevada,75
Missouri,73
Ohio,72
Michigan,71
Idaho,69
Rhode Island,68
Alabama,68
Mississippi,67
Maine,67
New Jersey,67
Pennsylvania,66
Arizona,65
Iowa,64
Utah,63
Massachusetts,63
Louisiana,62
Montana,62
Florida,62
Maryland,62
South Carolina,61
Tennessee,60
Connecticut,60
Colorado,60
New York,60
Oregon,59
Wisconsin,59
North Dakota,58
Kansas,58
North Carolina,57
Washington,57
Illinois,54
Hawaii,54
Texas,53
Indiana,50
Oklahoma,50
New Mexico,48
Georgia,46
Delaware,46
District of Columbia,46
West Virginia,44
Alaska,44
Minnesota,41
Vermont,39
Wyoming,34
Virginia,33
California,32
