Category: All categories

Region,kill yourself: (2007)
Arkansas,100
Wisconsin,95
Mississippi,93
Oregon,91
Rhode Island,88
Utah,87
Pennsylvania,85
Michigan,84
Maine,83
Missouri,79
West Virginia,78
Kansas,76
Vermont,75
New Mexico,74
New Jersey,74
Louisiana,70
New Hampshire,69
Idaho,68
Nevada,68
Ohio,65
Tennessee,65
Washington,64
Kentucky,64
Oklahoma,63
Iowa,62
New York,62
Indiana,60
Alabama,60
Connecticut,59
Georgia,59
Maryland,59
North Carolina,59
Massachusetts,58
South Carolina,58
Colorado,55
Florida,55
Virginia,54
California,53
Minnesota,52
Nebraska,52
Illinois,51
Arizona,49
Texas,49
District of Columbia,47
Hawaii,44
South Dakota,39
Alaska,37
Montana,31
Delaware,27
North Dakota,
Wyoming,
