Category: All categories

Region,kill yourself: (2020)
Wyoming,100
Utah,92
Montana,90
West Virginia,89
New Mexico,87
Oklahoma,86
Nevada,85
Arkansas,83
South Dakota,81
Indiana,79
Idaho,78
Colorado,77
Hawaii,77
Oregon,76
Mississippi,75
New Hampshire,75
Kansas,75
Arizona,74
Ohio,74
Delaware,74
Kentucky,74
Iowa,73
Michigan,73
Missouri,72
Alaska,69
Rhode Island,69
Wisconsin,68
Georgia,68
Alabama,67
South Carolina,67
Nebraska,67
North Dakota,67
North Carolina,67
Illinois,67
Tennessee,66
Washington,66
Maine,66
Minnesota,65
Louisiana,65
Pennsylvania,64
Maryland,64
Massachusetts,63
California,63
Connecticut,60
Texas,59
Virginia,59
New Jersey,54
Vermont,54
Florida,53
New York,52
District of Columbia,44
