Category: All categories

Region,kill yourself: (2012)
West Virginia,100
Montana,97
Alaska,86
Maine,84
Vermont,83
Michigan,81
Idaho,78
Pennsylvania,76
Connecticut,75
Ohio,75
Indiana,74
Mississippi,74
Kentucky,73
Rhode Island,73
Wisconsin,72
Arizona,71
New Hampshire,70
Oklahoma,70
Colorado,69
New Mexico,68
New Jersey,68
Virginia,68
Massachusetts,67
Missouri,67
Washington,66
Iowa,66
Florida,66
Nebraska,66
Utah,65
Tennessee,65
Illinois,65
New York,64
Maryland,64
Nevada,63
Georgia,63
Delaware,62
South Carolina,62
North Carolina,62
Kansas,61
Minnesota,61
Texas,59
South Dakota,57
Oregon,56
California,56
Louisiana,55
Alabama,54
District of Columbia,53
Hawaii,49
Arkansas,48
Wyoming,48
North Dakota,45
