Category: All categories

Region,kill yourself: (2015)
South Dakota,100
Vermont,91
Alaska,86
West Virginia,81
Iowa,81
Ohio,80
Indiana,80
Utah,80
Kentucky,77
Rhode Island,75
Pennsylvania,75
Nebraska,75
New Hampshire,75
Wisconsin,74
South Carolina,74
North Dakota,74
Maine,74
Missouri,74
Louisiana,74
Colorado,73
Michigan,73
Idaho,72
Alabama,72
Delaware,70
Montana,70
Oklahoma,69
Tennessee,69
Hawaii,68
Arizona,68
New Mexico,68
Nevada,67
New Jersey,67
Minnesota,66
Mississippi,66
Maryland,65
North Carolina,64
Illinois,64
Georgia,64
Massachusetts,63
Kansas,61
Arkansas,61
Connecticut,59
Florida,59
Texas,58
Washington,58
Oregon,58
New York,55
Wyoming,54
District of Columbia,53
California,53
Virginia,44
