Category: All categories

Region,kill yourself: (2009)
Arkansas,100
New Hampshire,99
Missouri,92
Montana,91
North Dakota,89
Wyoming,86
South Dakota,83
Ohio,82
Louisiana,80
Indiana,79
Alabama,78
West Virginia,78
South Carolina,77
Connecticut,76
Kentucky,75
Michigan,72
Arizona,71
Pennsylvania,70
Nevada,70
New Jersey,67
Kansas,64
Wisconsin,63
North Carolina,62
Vermont,61
Tennessee,61
Iowa,60
Texas,59
New York,58
Oregon,58
Oklahoma,58
Florida,58
Illinois,58
Utah,57
Nebraska,56
Rhode Island,56
Massachusetts,56
Washington,55
Alaska,54
Colorado,53
New Mexico,53
Mississippi,50
Delaware,50
Hawaii,50
Georgia,49
Maryland,49
Minnesota,47
District of Columbia,43
Idaho,41
Maine,39
California,38
Virginia,37
