Category: All categories

Region,molestation: (2010)
Indiana,100
Georgia,95
Kentucky,92
Delaware,90
Montana,80
Louisiana,79
Oklahoma,75
Missouri,74
Washington,74
Arizona,72
South Carolina,72
Alabama,72
New Hampshire,72
Wyoming,70
Oregon,69
Pennsylvania,68
Rhode Island,68
Idaho,67
Kansas,67
Mississippi,67
Florida,65
Tennessee,65
Ohio,64
Alaska,63
South Dakota,61
Arkansas,61
West Virginia,60
Nevada,60
New Jersey,60
Nebraska,59
Maryland,59
North Carolina,59
Michigan,58
District of Columbia,57
North Dakota,56
Texas,55
Maine,54
Illinois,53
New Mexico,52
Colorado,51
Hawaii,50
Connecticut,49
New York,49
Wisconsin,46
Massachusetts,46
California,45
Vermont,45
Utah,43
Minnesota,42
Iowa,42
Virginia,30
