Category: All categories

Region,molestation: (2020)
Georgia,100
Alaska,98
Indiana,94
Oklahoma,92
Louisiana,82
Rhode Island,79
Missouri,78
Washington,75
New Mexico,71
Mississippi,69
Alabama,68
Arizona,67
West Virginia,67
Nevada,65
Arkansas,61
Wyoming,59
Maine,58
Idaho,57
Kentucky,56
Kansas,56
Florida,53
Montana,53
South Carolina,52
Nebraska,51
Ohio,51
District of Columbia,50
Texas,50
Maryland,50
California,50
Illinois,49
Pennsylvania,49
Hawaii,49
Virginia,48
Oregon,48
North Carolina,47
Michigan,45
Tennessee,45
Delaware,43
Utah,42
Vermont,42
New Hampshire,42
Massachusetts,41
North Dakota,40
South Dakota,39
Connecticut,39
Colorado,39
New York,39
Minnesota,38
New Jersey,38
Iowa,37
Wisconsin,36
