Category: All categories

Region,molestation: (2007)
Georgia,100
North Dakota,92
Indiana,91
Montana,90
Arkansas,88
Nebraska,87
Rhode Island,86
Delaware,86
Wyoming,82
South Carolina,81
Mississippi,77
Kentucky,76
Louisiana,76
Washington,74
Oregon,72
Maine,71
Arizona,68
North Carolina,68
California,67
Missouri,65
Kansas,64
Maryland,64
Florida,61
Alabama,61
Nevada,61
Illinois,61
Oklahoma,57
Michigan,56
District of Columbia,55
Idaho,54
Virginia,53
Connecticut,53
Pennsylvania,53
Texas,52
Tennessee,50
Hawaii,50
Ohio,49
New Mexico,48
Utah,46
Alaska,46
West Virginia,45
Iowa,45
Colorado,42
New Hampshire,42
New Jersey,42
New York,39
Massachusetts,34
Wisconsin,34
Vermont,32
Minnesota,27
South Dakota,
