Category: All categories

Region,molestation: (2021)
Georgia,100
Indiana,98
Rhode Island,90
Oklahoma,84
Missouri,79
Louisiana,75
Mississippi,72
Montana,69
Washington,65
Arizona,62
Arkansas,62
Alabama,61
Delaware,60
Nevada,59
Kentucky,57
Alaska,57
New Mexico,57
Tennessee,53
Kansas,53
Texas,53
Florida,53
Ohio,51
California,50
Idaho,50
Oregon,50
South Carolina,49
Connecticut,49
Michigan,49
North Carolina,48
Virginia,46
West Virginia,46
South Dakota,46
Illinois,45
New Jersey,45
District of Columbia,44
Minnesota,44
Pennsylvania,43
Maryland,43
Maine,42
Colorado,40
North Dakota,39
Massachusetts,39
Vermont,39
Utah,38
Wisconsin,37
Nebraska,36
Wyoming,34
New York,34
New Hampshire,34
Iowa,32
Hawaii,30
