Category: All categories

Region,molestation: (2015)
Rhode Island,100
Oklahoma,98
Georgia,91
Louisiana,87
Indiana,86
South Carolina,80
West Virginia,79
Mississippi,78
Nebraska,78
Kentucky,78
Montana,75
Missouri,74
Tennessee,73
Arizona,70
Arkansas,70
Alaska,70
Alabama,70
Washington,68
New Mexico,66
North Dakota,65
Idaho,64
District of Columbia,62
North Carolina,62
South Dakota,61
Maine,60
Michigan,59
California,59
Illinois,59
Wyoming,58
Florida,57
Delaware,57
Hawaii,57
Nevada,57
Maryland,56
New Hampshire,56
Pennsylvania,54
Massachusetts,54
Minnesota,53
Iowa,53
Ohio,52
Texas,52
Connecticut,52
Oregon,52
Colorado,50
New York,50
Wisconsin,50
New Jersey,49
Vermont,48
Kansas,48
Utah,45
Virginia,37
