Category: All categories

Region,molestation: (2009)
Nevada,100
Georgia,98
Indiana,88
Maryland,88
Louisiana,84
Rhode Island,84
Oklahoma,79
Vermont,78
Tennessee,72
Alaska,71
Maine,70
Florida,69
Missouri,68
Kansas,68
Hawaii,67
South Carolina,67
Arizona,66
Kentucky,65
North Carolina,64
Mississippi,63
Idaho,63
District of Columbia,56
New Mexico,56
Washington,56
Oregon,55
Pennsylvania,54
North Dakota,53
Texas,53
California,53
Alabama,53
Ohio,53
Arkansas,52
Illinois,52
Connecticut,51
Nebraska,51
Delaware,50
New Jersey,50
Michigan,47
Colorado,46
New Hampshire,46
Massachusetts,45
New York,45
Minnesota,42
South Dakota,40
Iowa,38
Wisconsin,37
West Virginia,31
Utah,30
Virginia,30
Montana,29
Wyoming,24
