Category: All categories

Region,molestation: (2011)
Rhode Island,100
Georgia,96
Indiana,84
Louisiana,74
Delaware,71
Missouri,69
South Carolina,67
West Virginia,64
Washington,64
Arkansas,62
Oklahoma,60
Maine,59
Kentucky,59
Alabama,59
Tennessee,58
Pennsylvania,58
North Dakota,56
Arizona,55
Vermont,55
District of Columbia,54
Kansas,54
New Mexico,53
Nevada,52
North Carolina,52
Alaska,52
Montana,52
California,52
Virginia,50
Mississippi,50
Florida,50
Idaho,49
Texas,49
Illinois,47
Ohio,46
New Hampshire,46
Maryland,46
Iowa,45
New Jersey,45
Oregon,45
New York,45
Michigan,45
Nebraska,44
Connecticut,44
Minnesota,40
Massachusetts,40
Utah,37
Colorado,36
Hawaii,34
Wisconsin,32
Wyoming,25
South Dakota,17
