Category: All categories

Region,Borderline personality: (2020)
Vermont,100
Maine,95
New Hampshire,94
Utah,93
Montana,83
Rhode Island,82
Idaho,82
North Dakota,82
Oregon,80
Connecticut,77
Minnesota,75
Wyoming,73
South Dakota,72
West Virginia,72
Kansas,70
Massachusetts,70
Colorado,69
Washington,68
Nebraska,66
Missouri,66
Indiana,64
Arkansas,64
Iowa,64
Michigan,63
Arizona,63
Illinois,63
Oklahoma,62
New York,61
New Mexico,61
Pennsylvania,61
California,60
South Carolina,60
Kentucky,59
Florida,59
Delaware,58
Alaska,58
District of Columbia,58
Ohio,57
Maryland,56
Virginia,55
Nevada,55
Wisconsin,55
Mississippi,53
Tennessee,53
North Carolina,52
Louisiana,52
Alabama,51
New Jersey,50
Texas,50
Hawaii,49
Georgia,44
