Category: All categories

Region,Borderline personality: (2008)
New Hampshire,100
Maine,96
Montana,81
Delaware,71
Rhode Island,71
Vermont,69
Massachusetts,68
Minnesota,64
Oregon,64
Kentucky,63
Connecticut,63
Colorado,63
Kansas,62
Missouri,61
South Dakota,61
New York,61
Idaho,60
Oklahoma,59
Pennsylvania,59
Iowa,59
Alaska,58
Washington,57
Louisiana,56
Ohio,56
Michigan,56
Arkansas,55
New Mexico,54
Wisconsin,54
Maryland,54
Nevada,53
New Jersey,52
North Carolina,52
Illinois,51
Nebraska,51
Indiana,51
Tennessee,51
South Carolina,50
Wyoming,50
West Virginia,49
Hawaii,49
Alabama,49
Georgia,47
Arizona,45
District of Columbia,45
Mississippi,45
Texas,44
Florida,43
Utah,43
California,38
Virginia,38
North Dakota,37
