Category: All categories

Region,Borderline personality: (2013)
Vermont,100
New Hampshire,87
Maine,86
Rhode Island,79
Wyoming,76
Montana,75
North Dakota,74
West Virginia,74
Delaware,72
Arkansas,71
Indiana,70
Connecticut,69
Minnesota,69
Massachusetts,69
Colorado,69
Washington,69
South Carolina,68
South Dakota,66
Mississippi,66
Kentucky,66
Missouri,66
Utah,66
Idaho,65
Alaska,64
New Mexico,64
Pennsylvania,63
Oklahoma,63
Arizona,62
Wisconsin,62
New York,61
Tennessee,61
Maryland,60
New Jersey,60
North Carolina,60
Michigan,60
Alabama,59
Ohio,58
District of Columbia,58
Kansas,58
Iowa,58
Louisiana,58
Virginia,58
Nevada,57
California,57
Nebraska,55
Illinois,52
Oregon,48
Georgia,48
Hawaii,47
Florida,46
Texas,44
