Category: All categories

Region,Borderline personality: (2018)
Vermont,100
Maine,90
New Hampshire,85
Montana,85
Utah,75
Rhode Island,74
Connecticut,74
South Dakota,72
Oregon,72
Minnesota,69
Idaho,69
Massachusetts,69
North Dakota,69
Washington,69
New York,68
Colorado,68
Indiana,66
Missouri,65
West Virginia,64
Wisconsin,63
Iowa,62
Michigan,61
Delaware,61
South Carolina,60
Arizona,60
Kentucky,60
Alaska,59
District of Columbia,58
Maryland,58
Pennsylvania,58
Nebraska,57
Oklahoma,57
Arkansas,57
Texas,56
Virginia,55
New Mexico,55
Ohio,55
Kansas,55
California,55
Wyoming,54
Illinois,53
New Jersey,51
Tennessee,51
Louisiana,51
Nevada,50
Alabama,50
North Carolina,49
Mississippi,49
Florida,47
Hawaii,45
Georgia,42
