Category: All categories

Region,i want to die: (2011)
Idaho,100
West Virginia,94
Delaware,80
Kentucky,74
Hawaii,71
New Jersey,71
Connecticut,66
New Mexico,65
Iowa,64
Indiana,64
Utah,62
North Dakota,61
Louisiana,60
Rhode Island,58
Arizona,58
Ohio,57
Maryland,55
Pennsylvania,55
Mississippi,54
New York,53
Michigan,53
Maine,52
South Dakota,51
Massachusetts,51
Kansas,50
Oregon,50
Washington,50
Florida,49
South Carolina,49
Wisconsin,49
Illinois,49
Georgia,49
Missouri,49
Tennessee,48
California,48
Virginia,48
Texas,47
Oklahoma,46
Minnesota,46
District of Columbia,46
Nevada,46
North Carolina,44
Alabama,44
Colorado,42
Nebraska,40
New Hampshire,39
Montana,37
Arkansas,36
Vermont,
Alaska,
Wyoming,
