Category: All categories

Region,i want to die: (2019)
Montana,100
Maine,73
Utah,69
Kansas,69
West Virginia,66
New Hampshire,65
Indiana,63
Missouri,62
Oregon,60
Idaho,59
Nebraska,59
South Dakota,58
Colorado,58
New Mexico,57
Wisconsin,57
Arizona,56
Minnesota,56
Rhode Island,55
Oklahoma,55
Kentucky,54
Connecticut,53
Pennsylvania,53
Massachusetts,51
Michigan,51
Ohio,51
South Carolina,51
North Dakota,50
Hawaii,50
Iowa,50
Washington,49
New Jersey,49
Arkansas,49
Alabama,48
Tennessee,48
North Carolina,47
Illinois,47
Mississippi,47
Nevada,47
District of Columbia,46
Maryland,46
Virginia,46
Georgia,45
California,44
Texas,43
Louisiana,43
New York,42
Delaware,40
Florida,39
Wyoming,
Vermont,
Alaska,
