Category: All categories

Region,i want to die: (2017)
West Virginia,100
New Hampshire,96
Rhode Island,91
Indiana,88
Idaho,88
Iowa,87
Nevada,87
South Dakota,86
Utah,85
Arkansas,83
Hawaii,83
Oregon,83
Kentucky,81
Ohio,80
Washington,79
Maine,79
Connecticut,77
Arizona,77
Michigan,77
Montana,76
Missouri,76
New Mexico,75
Tennessee,75
Colorado,75
Oklahoma,73
Virginia,71
Wisconsin,71
Alabama,71
Louisiana,68
South Carolina,68
Massachusetts,68
Pennsylvania,67
Kansas,67
North Carolina,66
Nebraska,66
Minnesota,65
California,65
New Jersey,63
Georgia,61
Illinois,61
Maryland,60
Texas,59
New York,58
Florida,58
North Dakota,53
Mississippi,51
Delaware,48
District of Columbia,47
Vermont,
Alaska,
Wyoming,
