Category: All categories

Region,Narcissism: (2015)
Utah,100
Connecticut,85
New Mexico,85
Washington,84
New Hampshire,81
Montana,78
Alaska,77
Idaho,77
Massachusetts,70
Vermont,69
Nevada,69
Iowa,68
New Jersey,68
Oregon,68
Maryland,64
Arkansas,64
Colorado,59
New York,59
Wyoming,58
California,56
Mississippi,52
North Dakota,51
Alabama,50
Maine,50
Rhode Island,50
District of Columbia,49
Minnesota,48
Wisconsin,48
Kentucky,48
Pennsylvania,48
South Carolina,48
Nebraska,47
South Dakota,47
Louisiana,46
Indiana,45
Hawaii,45
Michigan,44
Arizona,43
Oklahoma,43
Tennessee,43
West Virginia,43
Ohio,42
Kansas,41
Missouri,41
North Carolina,41
Illinois,40
Georgia,39
Texas,39
Florida,37
Virginia,33
Delaware,24
