Category: All categories

Region,Narcissism: (2008)
West Virginia,100
New Mexico,74
Idaho,69
Utah,67
Rhode Island,67
Colorado,66
Connecticut,63
Louisiana,60
Washington,59
Alabama,58
Mississippi,57
Nebraska,57
Wyoming,57
Nevada,55
Oregon,54
Minnesota,51
Kansas,51
Maryland,49
Indiana,49
Michigan,49
Oklahoma,49
Pennsylvania,49
Tennessee,48
Arizona,47
Georgia,47
New Jersey,47
North Carolina,46
New York,46
Ohio,46
District of Columbia,46
New Hampshire,44
Massachusetts,43
Missouri,43
Texas,41
Maine,41
Alaska,41
Iowa,41
Hawaii,39
California,39
Florida,38
Illinois,37
Arkansas,37
Kentucky,36
South Carolina,35
Wisconsin,35
Virginia,33
Vermont,31
Delaware,27
Montana,
North Dakota,
South Dakota,
