Category: All categories

Region,Narcissism: (2014)
Utah,100
New Mexico,99
Washington,83
Nevada,77
Alaska,77
New Hampshire,72
Connecticut,72
Montana,69
Massachusetts,66
Iowa,64
South Dakota,63
New Jersey,60
New York,60
District of Columbia,56
Maryland,55
Oregon,52
Delaware,52
Hawaii,50
Colorado,50
Arkansas,50
California,49
South Carolina,48
Alabama,47
Idaho,47
Maine,45
Wyoming,44
Louisiana,43
Vermont,41
Minnesota,41
Rhode Island,41
Kentucky,41
Arizona,41
Oklahoma,40
North Carolina,40
Pennsylvania,39
Indiana,39
Kansas,38
Michigan,37
Ohio,37
Nebraska,37
Wisconsin,36
Texas,36
Illinois,36
West Virginia,35
Mississippi,35
Missouri,35
Tennessee,35
Georgia,32
Virginia,31
Florida,30
North Dakota,29
