Year,State,therapy_near_me,no_friends,kill_myself,self_harm,feeling_alone,suicide,sin,hate_myself,divorce,fitting_in,kill_yourself,jesus,bullying,lonely,guilty,feeling_sad,suicide_hotline,i_hate_my_parents,hope,cant_sleep,eating_disorder,therapy,faith,abusive_parents,i_want_to_die,coping_with_stress,depression,cutting,school_stress,hell
2004,Nevada,0,34.0,21.0,0.0,0.0,71,100.0,0.0,83,0.0,0.0,61,20.0,50,90.0,100.0,19.0,0.0,37,0.0,90.0,63,63,0.0,0.0,0.0,48,53,47.0,85
2004,New Hampshire,100.0,34.0,13.0,0.0,0.0,83,51.0,0.0,69,0.0,0.0,53,48.0,60,47.0,0.0,0.0,0.0,53,0.0,67.0,79,71,0.0,93.0,0.0,62,60,0.0,95
2004,New Jersey,0,18.0,4.0,0.0,0.0,70,62.0,17.0,69,6.0,24.0,57,58.0,58,67.0,30.0,8.0,0.0,62,0.0,54.0,66,54,20.0,61.0,0.0,64,55,13.0,74
2004,New Mexico,0,0.0,0.0,0.0,0.0,96,60.0,60.0,89,0.0,26.0,65,33.0,80,67.0,0.0,0.0,0.0,32,0.0,63.0,94,54,0.0,0.0,91.0,75,58,53.0,87
2004,New York,0,10.0,7.0,4.0,0.0,71,61.0,17.0,59,9.0,21.0,51,39.0,60,67.0,4.0,7.0,52.0,46,0.0,61.0,80,47,12.0,38.0,7.0,60,53,14.0,66
2004,North Carolina,0,6.0,10.0,0.0,55.0,61,54.0,9.0,82,14.0,14.0,75,22.0,53,49.0,0.0,3.0,0.0,71,0.0,60.0,78,72,25.0,29.0,39.0,64,56,0.0,74
2004,North Dakota,0,86.0,0.0,99.0,0.0,83,69.0,0.0,73,0.0,0.0,75,60.0,72,72.0,0.0,100.0,0.0,51,0.0,89.0,95,84,0.0,0.0,0.0,85,54,0.0,88
2004,Ohio,8.0,17.0,8.0,11.0,8.0,76,55.0,10.0,76,18.0,21.0,67,38.0,52,58.0,9.0,3.0,100.0,48,0.0,55.0,66,66,0.0,59.0,16.0,65,60,13.0,77
2004,Oklahoma,0,0.0,0.0,17.0,0.0,66,67.0,41.0,90,0.0,45.0,81,32.0,53,51.0,0.0,29.0,0.0,44,0.0,38.0,77,81,0.0,100.0,45.0,59,66,0.0,88
2004,Oregon,0,8.0,0.0,18.0,0.0,91,56.0,0.0,70,10.0,29.0,60,31.0,64,60.0,0.0,0.0,0.0,44,0.0,73.0,86,65,0.0,51.0,0.0,64,69,30.0,86
2004,Pennsylvania,0,12.0,11.0,9.0,0.0,73,59.0,22.0,66,16.0,24.0,62,37.0,62,52.0,9.0,9.0,0.0,61,93.0,84.0,77,64,34.0,27.0,11.0,67,61,18.0,79
2004,Rhode Island,0,0.0,18.0,0.0,0.0,89,57.0,33.0,68,0.0,19.0,49,49.0,73,84.0,0.0,0.0,0.0,100,0.0,63.0,83,77,0.0,0.0,0.0,73,52,0.0,96
2004,South Carolina,0,41.0,14.0,0.0,0.0,64,51.0,46.0,90,43.0,23.0,78,26.0,57,66.0,0.0,0.0,0.0,49,0.0,41.0,75,78,0.0,62.0,0.0,63,66,0.0,66
2004,South Dakota,0,0.0,0.0,100.0,0.0,100,34.0,0.0,78,95.0,0.0,74,96.0,62,0.0,0.0,58.0,0.0,36,0.0,82.0,100,100,0.0,0.0,0.0,84,75,0.0,78
2004,Tennessee,0,16.0,0.0,8.0,56.0,71,54.0,19.0,97,12.0,19.0,87,42.0,58,60.0,0.0,18.0,0.0,58,0.0,51.0,85,80,0.0,0.0,26.0,66,65,28.0,76
2004,Texas,0,8.0,2.0,3.0,7.0,56,74.0,20.0,97,15.0,19.0,80,20.0,68,63.0,3.0,7.0,47.0,38,0.0,38.0,76,60,22.0,27.0,0.0,52,58,11.0,74
2004,Utah,0,0.0,0.0,0.0,46.0,77,60.0,0.0,94,29.0,39.0,98,11.0,56,47.0,0.0,0.0,0.0,43,0.0,74.0,93,64,0.0,0.0,36.0,64,62,84.0,74
2004,Vermont,0,83.0,0.0,0.0,0.0,77,27.0,0.0,57,87.0,28.0,65,76.0,79,61.0,0.0,33.0,0.0,36,0.0,45.0,81,54,0.0,0.0,0.0,93,70,0.0,63
2004,Virginia,0,9.0,12.0,11.0,0.0,61,60.0,6.0,81,9.0,15.0,58,30.0,58,51.0,0.0,3.0,0.0,47,0.0,43.0,64,63,0.0,27.0,8.0,55,50,6.0,68
2004,Washington,0,13.0,5.0,8.0,11.0,75,59.0,13.0,76,0.0,26.0,63,34.0,61,52.0,10.0,14.0,88.0,43,0.0,52.0,69,60,0.0,27.0,13.0,60,65,0.0,75
2004,West Virginia,0,37.0,0.0,0.0,100.0,93,55.0,0.0,76,0.0,82.0,87,22.0,36,0.0,0.0,86.0,0.0,61,0.0,79.0,99,85,0.0,0.0,0.0,71,60,100.0,99
2004,Wisconsin,0,12.0,14.0,0.0,0.0,79,61.0,13.0,69,0.0,32.0,65,31.0,63,53.0,12.0,10.0,0.0,42,0.0,76.0,82,63,55.0,54.0,34.0,77,66,0.0,73
2004,Wyoming,0,0.0,0.0,0.0,0.0,70,0.0,0.0,64,0.0,0.0,75,100.0,91,0.0,0.0,0.0,0.0,44,0.0,100.0,96,64,0.0,0.0,0.0,100,100,0.0,73
2005,Alabama,0,0.0,49.0,0.0,0.0,65,58.0,25.0,91,0.0,44.0,88,44.0,53,53.0,0.0,0.0,0.0,48,0.0,49.0,65,84,0.0,19.0,0.0,68,71,0.0,68
2005,Alaska,0,0.0,0.0,100.0,0.0,93,60.0,0.0,61,0.0,0.0,68,80.0,83,53.0,0.0,0.0,0.0,55,0.0,58.0,61,62,0.0,0.0,0.0,58,82,0.0,81
2005,Arizona,0,17.0,28.0,21.0,0.0,73,66.0,14.0,80,23.0,44.0,64,43.0,62,48.0,0.0,9.0,0.0,41,0.0,57.0,63,55,0.0,17.0,0.0,57,72,18.0,61
2005,Arkansas,56.0,36.0,0.0,0.0,0.0,83,63.0,0.0,98,98.0,0.0,91,86.0,74,63.0,0.0,21.0,0.0,66,0.0,71.0,72,69,0.0,0.0,0.0,82,99,60.0,80
2005,California,0,32.0,25.0,8.0,0.0,76,78.0,14.0,73,23.0,29.0,60,24.0,76,71.0,8.0,16.0,41.0,41,0.0,54.0,69,50,7.0,11.0,5.0,53,58,29.0,57
2005,Colorado,0,34.0,56.0,38.0,0.0,80,57.0,11.0,90,39.0,19.0,64,37.0,65,49.0,50.0,16.0,0.0,41,0.0,70.0,69,55,19.0,13.0,6.0,64,81,24.0,59
2005,Connecticut,0,39.0,16.0,19.0,11.0,76,66.0,11.0,66,21.0,51.0,55,75.0,79,71.0,40.0,0.0,0.0,43,0.0,80.0,69,56,0.0,23.0,13.0,73,75,34.0,68
2005,Delaware,0,0.0,100.0,0.0,0.0,72,76.0,0.0,87,0.0,0.0,67,57.0,65,27.0,0.0,0.0,0.0,46,0.0,68.0,71,54,0.0,100.0,0.0,64,81,0.0,50
2005,District of Columbia,0,30.0,0.0,0.0,0.0,62,58.0,0.0,86,0.0,17.0,58,40.0,74,67.0,0.0,0.0,0.0,53,0.0,52.0,54,61,0.0,8.0,0.0,53,53,18.0,54
2005,Florida,0,25.0,25.0,8.0,8.0,61,66.0,17.0,82,22.0,44.0,66,29.0,58,61.0,10.0,9.0,100.0,34,0.0,53.0,62,54,7.0,13.0,11.0,52,58,26.0,57
2005,Georgia,0,18.0,24.0,11.0,0.0,61,57.0,23.0,83,17.0,25.0,85,33.0,57,67.0,10.0,12.0,70.0,62,0.0,48.0,58,68,13.0,17.0,17.0,53,69,11.0,55
2005,Hawaii,0,76.0,0.0,0.0,0.0,70,79.0,18.0,65,0.0,0.0,71,42.0,100,64.0,0.0,24.0,0.0,71,0.0,60.0,63,52,0.0,20.0,0.0,54,63,0.0,56
2005,Idaho,0,44.0,0.0,0.0,0.0,80,63.0,21.0,87,0.0,0.0,79,55.0,65,85.0,0.0,0.0,0.0,36,0.0,96.0,74,58,0.0,0.0,0.0,75,100,83.0,56
