Category: All categories

Region,how to die: (2016)
South Dakota,100
West Virginia,94
Wyoming,86
Arkansas,86
Alaska,85
Montana,85
Idaho,84
Mississippi,84
Iowa,83
Indiana,82
Oklahoma,81
Kentucky,81
Ohio,79
Maine,77
Utah,76
Kansas,76
North Dakota,76
Vermont,75
Michigan,75
New Hampshire,74
New Mexico,73
Alabama,73
Delaware,72
Nevada,70
Nebraska,70
South Carolina,69
Wisconsin,69
Missouri,69
Louisiana,69
Rhode Island,68
Pennsylvania,68
Hawaii,68
California,67
North Carolina,66
Texas,65
Tennessee,64
Oregon,64
Minnesota,63
New Jersey,62
Illinois,61
Colorado,61
Florida,61
Connecticut,61
Arizona,60
Georgia,60
Virginia,59
Washington,58
Maryland,54
Massachusetts,52
New York,50
District of Columbia,41
