Category: All categories

Region,how to die: (2008)
South Dakota,100
Idaho,84
North Dakota,83
Arkansas,83
Montana,82
Delaware,79
Kentucky,78
Connecticut,77
Maine,67
Mississippi,66
Indiana,66
Wyoming,66
Rhode Island,65
Ohio,65
Michigan,64
West Virginia,63
Wisconsin,62
South Carolina,62
Utah,62
Louisiana,60
Florida,60
Colorado,59
Nevada,59
Georgia,58
Missouri,57
New Jersey,57
Alabama,57
Pennsylvania,57
New Mexico,57
Arizona,57
Maryland,56
North Carolina,56
Oregon,55
Kansas,53
Texas,52
Alaska,52
Tennessee,51
Illinois,51
Iowa,50
Washington,49
Minnesota,49
New York,48
Nebraska,47
New Hampshire,47
Hawaii,45
Oklahoma,44
Massachusetts,42
California,42
Virginia,40
District of Columbia,38
Vermont,36
